"w1_HelaKyoto_Gapdh_2597_p05_cy3__Cell_CP_11.tif", "421", "335", "45487", "614258"
"w1_HelaKyoto_Gapdh_2597_p05_cy3__Cell_CP_12.tif", "14", "0", "36097", "865965"
"w1_HelaKyoto_Gapdh_2597_p05_cy3__Cell_CP_13.tif", "1", "1", "16151", "984031"
"w1_HelaKyoto_Gapdh_2597_p05_cy3__Cell_CP_14.tif", "391", "326", "43849", "443408"
"w1_HelaKyoto_Gapdh_2597_p05_cy3__Cell_CP_15.tif", "15", "96", "15151", "870125"
"w1_HelaKyoto_Gapdh_2597_p05_cy3__Cell_CP_16.tif", "329", "166", "15174", "692080"
"w1_HelaKyoto_Gapdh_2597_p05_cy3__Cell_CP_3.tif", "30", "3", "53548", "1074879"
"w1_HelaKyoto_Gapdh_2597_p05_cy3__Cell_CP_4.tif", "1", "1", "131591", "1620490"
"w1_HelaKyoto_Gapdh_2597_p05_cy3__Cell_CP_5.tif", "1", "1", "75328", "1654054"
"w1_HelaKyoto_Gapdh_2597_p05_cy3__Cell_CP_6.tif", "1", "1", "42939", "549063"
"w1_HelaKyoto_Gapdh_2597_p05_cy3__Cell_CP_7.tif", "1", "1", "69446", "4821210"
"w1_HelaKyoto_Gapdh_2597_p05_cy3__Cell_CP_8.tif", "1", "1", "53423", "1423210"
"w1_HelaKyoto_Gapdh_2597_p05_cy3__Cell_CP_9.tif", "202", "242", "34927", "1521316"
"w1_HelaKyoto_Gapdh_2597_p06_cy3__Cell_CP_10.tif", "424", "373", "70630", "1746238"
"w1_HelaKyoto_Gapdh_2597_p06_cy3__Cell_CP_11.tif", "564", "373", "56229", "1082843"
"w1_HelaKyoto_Gapdh_2597_p06_cy3__Cell_CP_12.tif", "4", "3", "78133", "1421406"
"w1_HelaKyoto_Gapdh_2597_p06_cy3__Cell_CP_3.tif", "37", "303", "54190", "1976699"
"w1_HelaKyoto_Gapdh_2597_p06_cy3__Cell_CP_4.tif", "1", "1", "58952", "3686831"
"w1_HelaKyoto_Gapdh_2597_p06_cy3__Cell_CP_5.tif", "8", "222", "19130", "2903049"
"w1_HelaKyoto_Gapdh_2597_p06_cy3__Cell_CP_6.tif", "233", "163", "18186", "1738915"
"w1_HelaKyoto_Gapdh_2597_p06_cy3__Cell_CP_7.tif", "1172", "512", "93897", "1325927"
"w1_HelaKyoto_Gapdh_2597_p07_cy3__Cell_CP_10.tif", "3", "1", "83623", "4091534"
"w1_HelaKyoto_Gapdh_2597_p07_cy3__Cell_CP_11.tif", "184", "237", "37473", "3788368"
"w1_HelaKyoto_Gapdh_2597_p07_cy3__Cell_CP_12.tif", "515", "327", "43917", "1430317"
"w1_HelaKyoto_Gapdh_2597_p07_cy3__Cell_CP_13.tif", "581", "217", "41790", "1231930"
"w1_HelaKyoto_Gapdh_2597_p07_cy3__Cell_CP_14.tif", "2", "1", "27441", "2173011"
"w1_HelaKyoto_Gapdh_2597_p07_cy3__Cell_CP_15.tif", "82", "95", "31408", "2143355"
"w1_HelaKyoto_Gapdh_2597_p07_cy3__Cell_CP_16.tif", "520", "264", "49790", "2253228"
"w1_HelaKyoto_Gapdh_2597_p07_cy3__Cell_CP_17.tif", "397", "187", "31261", "1212858"
"w1_HelaKyoto_Gapdh_2597_p07_cy3__Cell_CP_18.tif", "10", "1", "51703", "2448578"
"w1_HelaKyoto_Gapdh_2597_p07_cy3__Cell_CP_19.tif", "2", "1", "37965", "2149776"
"w1_HelaKyoto_Gapdh_2597_p07_cy3__Cell_CP_1.tif", "9", "1", "19880", "636136"
"w1_HelaKyoto_Gapdh_2597_p07_cy3__Cell_CP_20.tif", "1", "216", "42110", "1506503"
"w1_HelaKyoto_Gapdh_2597_p07_cy3__Cell_CP_23.tif", "1", "0", "34065", "785830"
"w1_HelaKyoto_Gapdh_2597_p07_cy3__Cell_CP_24.tif", "2", "0", "44645", "2133964"
"w1_HelaKyoto_Gapdh_2597_p07_cy3__Cell_CP_25.tif", "3", "2", "43126", "2104605"
"w1_HelaKyoto_Gapdh_2597_p07_cy3__Cell_CP_27.tif", "1", "0", "41207", "1389507"
"w1_HelaKyoto_Gapdh_2597_p07_cy3__Cell_CP_28.tif", "234", "112", "15727", "1769878"
"w1_HelaKyoto_Gapdh_2597_p07_cy3__Cell_CP_2.tif", "513", "96", "44172", "1303552"
"w1_HelaKyoto_Gapdh_2597_p07_cy3__Cell_CP_30.tif", "99", "213", "19455", "1951697"
"w1_HelaKyoto_Gapdh_2597_p07_cy3__Cell_CP_31.tif", "291", "104", "16452", "1190676"
"w1_HelaKyoto_Gapdh_2597_p07_cy3__Cell_CP_32.tif", "445", "69", "21100", "2039030"
"w1_HelaKyoto_Gapdh_2597_p07_cy3__Cell_CP_33.tif", "231", "257", "54819", "1976666"
"w1_HelaKyoto_Gapdh_2597_p07_cy3__Cell_CP_3.tif", "238", "159", "24979", "2258728"
"w1_HelaKyoto_Gapdh_2597_p07_cy3__Cell_CP_4.tif", "490", "405", "54890", "757040"
"w1_HelaKyoto_Gapdh_2597_p07_cy3__Cell_CP_5.tif", "415", "146", "36163", "1111356"
"w1_HelaKyoto_Gapdh_2597_p07_cy3__Cell_CP_6.tif", "517", "291", "87590", "2415444"
"w1_HelaKyoto_Gapdh_2597_p07_cy3__Cell_CP_7.tif", "151", "162", "20690", "1187835"
"w1_HelaKyoto_Gapdh_2597_p07_cy3__Cell_CP_8.tif", "9", "2", "42230", "2546337"
"w1_HelaKyoto_Gapdh_2597_p07_cy3__Cell_CP_9.tif", "754", "504", "86370", "3267610"
"w1_HelaKyoto_Gapdh_2597_p08_cy3__Cell_CP_10.tif", "364", "149", "57168", "13297479"
"w1_HelaKyoto_Gapdh_2597_p08_cy3__Cell_CP_11.tif", "519", "289", "67506", "4254442"
"w1_HelaKyoto_Gapdh_2597_p08_cy3__Cell_CP_12.tif", "571", "214", "50354", "2089586"
"w1_HelaKyoto_Gapdh_2597_p08_cy3__Cell_CP_13.tif", "234", "125", "17718", "1984100"
"w1_HelaKyoto_Gapdh_2597_p08_cy3__Cell_CP_15.tif", "1217", "987", "161375", "2291422"
"w1_HelaKyoto_Gapdh_2597_p08_cy3__Cell_CP_16.tif", "576", "338", "32919", "825531"
"w1_HelaKyoto_Gapdh_2597_p08_cy3__Cell_CP_17.tif", "602", "289", "34800", "556199"
"w1_HelaKyoto_Gapdh_2597_p08_cy3__Cell_CP_18.tif", "311", "321", "22337", "717259"
"w1_HelaKyoto_Gapdh_2597_p08_cy3__Cell_CP_19.tif", "470", "123", "23523", "394974"
"w1_HelaKyoto_Gapdh_2597_p08_cy3__Cell_CP_20.tif", "762", "451", "80401", "1607647"
"w1_HelaKyoto_Gapdh_2597_p08_cy3__Cell_CP_21.tif", "494", "153", "31000", "501057"
"w1_HelaKyoto_Gapdh_2597_p08_cy3__Cell_CP_5.tif", "621", "356", "68987", "998301"
